feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
AKFIXMYXISUTAF-CKNBLZQJSA-N,"(1S,6R,10S,13S,14R,15R)-1...","(1S,6R,10S,13S,14R,15R)-1,6-dihydroxy-8-(hydroxymethyl)-4,12,12,15-tetramethyl-13-[(2-methylbutanoyl)oxy]-5-oxotetracyclo[8.5.0.0?,?.0??,??]pentadeca-3,8-dien-14-yl (2E)-2-methylbut-2-enoate",569.2464,10.401,1.8887088666666667,0.0072516029387478,metabolomics
RBFIISQAYNLQQY-ZROIWOOFSA-N,1-(2-methylpropylidene)-4...,"1-(2-methylpropylidene)-4-(propan-2-yl)-1H,2H,3H,4H,6H-piperazino[2,1-b]quinazoline-3,6-dione",334.15298,10.98,1.575208919999998,0.0072635378389767,metabolomics
HPQKNJHVWUWAOR-UHFFFAOYSA-N,NCGC00385898-01_C20H32O4_...,"NCGC00385898-01_C20H32O4_1-Naphthalenepentanoic acid, 5-carboxydecahydro-beta,5,8a-trimethyl-2-methylene-",359.21381,1.967,0.7514291966666633,0.0073318563675719,metabolomics
CWOFGGNDZOPNFG-UHFFFAOYSA-N,NCGC00385600-01_C13H22O3_...,"NCGC00385600-01_C13H22O3_2-Cyclohexen-1-one, 4-hydroxy-4-(3-hydroxybutyl)-3,5,5-trimethyl-",209.15318,2.265,0.6744446200000027,0.0073318563675719,metabolomics
KTEXNACQROZXEV-PWNZVWSESA-N,NCGC00024683-03_C15H20O3_...,"NCGC00024683-03_C15H20O3_(1aR,4E,7aS,10aS,10bS)-1a,5-Dimethyl-8-methylene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1aH)-one",266.17291,3.395,0.7341524166666709,0.007388740610223,metabolomics
VIMXTGUGWLAOFZ-UHFFFAOYSA-N,"Chrysanthemic Acid, Ethyl","Chrysanthemic Acid, Ethyl Ester_major",219.13522,1.523,0.6770044999999953,0.0074089666859362,metabolomics
AGPKZVBTJJNPAG-WHFBIAKZSA-N,Isoleucine,Isoleucine,132.10066,10.136,0.8512155099999994,0.007601572654478,metabolomics
WLYKQFJPOHPJQU-NXUNKAIYSA-N,"(2R,3R,4S,5R,6S)-2-(aceto...","(2R,3R,4S,5R,6S)-2-(acetoxymethyl)-6-((3-methoxy-1,4-dioxo-1,4-dihydronaphthalen-2-yl)thio)tetrahydro-2H-pyran-3,4,5-triyl triacetate",573.09845,6.694,0.8791062966666665,0.007693580026186,metabolomics
QNAYBMKLOCPYGJ-REOHCLBHSA-N,L-ALANINE,L-ALANINE,90.05428,3.329,-0.6618887133333331,0.0077611338902641,metabolomics
JTEGNNHWOIJBJZ-UHFFFAOYSA-N,FA 18:3+1O,FA 18:3+1O,277.21616,1.662,0.7475987200000027,0.0077611338902641,metabolomics
CDDYZYIBFIQEGM-ZWKOTPCHSA-N,"4-methyl-N-(((1S,9aR)-oct...","4-methyl-N-(((1S,9aR)-octahydro-1H-quinolizin-1-yl)methyl)-2-phenylthiazole-5-carboxamide",370.194,1.938,0.8716797333333339,0.0077611338902641,metabolomics
NOPFSRXAKWQILS-UHFFFAOYSA-N,DOCOSANOL,DOCOSANOL,349.34702,1.75,0.6256372499999934,0.0077981648178671,metabolomics
ZIMOUPHGHTXJRD-UHFFFAOYSA-N,NCGC00380970-01!3-hydroxy...,NCGC00380970-01!3-hydroxy-2-[[3-(3-hydroxy-6-methylheptanoyl)oxy-8-methylnonanoyl]amino]propanoic acid [IIN-based on: CCMSLIB00000848029],400.26291,4.588,1.672440536666663,0.0078398383084986,metabolomics
FNPHNLNTJNMAEE-UHFFFAOYSA-N,Stearoyl-L-Carnitine,Stearoyl-L-Carnitine,428.37146,2.885,0.7242287833333307,0.0078398383084986,metabolomics
ZISDTRGMDDVTKY-CZIZESTLSA-N,NCGC00386025-01!hexadecyl...,NCGC00386025-01!hexadecyl (E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate [IIN-based: Match],419.31604,1.797,0.8044219933333352,0.0078503066252067,metabolomics
LKLLJYJTYPVCID-JVVXYUKTSA-N,"(9Z,12E)-15,16-dihydroxyo...","(9Z,12E)-15,16-dihydroxyoctadeca-9,12-dienoic acid",313.2326,2.251,0.582782616666659,0.0078748176547909,metabolomics
DCULYKVTBAXAER-XETVFITMSA-N,Maoecrystal A,Maoecrystal A,411.1684,6.173,4.383858666666663,0.0080593588734303,metabolomics
MPCAJMNYNOGXPB-UHFFFAOYSA-N,"1,5-Anhydrosorbitol","1,5-Anhydrosorbitol",165.07382,2.549,-0.6688292666666662,0.0080973980362063,metabolomics
RBTBFTRPCNLSDE-UHFFFAOYSA-N,Methylene blue,Methylene blue,285.12738,5.973,0.8852837366666648,0.0082207039051248,metabolomics
IRZIRGSTEJPVHR-BVVFMGSASA-N,tert-butyl ((11S)-1-amino...,"tert-butyl ((11S)-1-amino-15-(4-((tert-butoxycarbonyl)oxy)phenyl)-5-isobutyl-11-methyl-1,4,7,10,13-pentaoxo-3,6,9,12-tetraazapentadecan-14-yl)carbamate",701.34656,3.61,15.845653196666673,0.0082277805113509,metabolomics
