feature_id,feature_display,name,mz,rt,logFC,adj.P.Val,dataset
VYKPCNPKUAMLQA-UHFFFAOYSA-N,DG 24:3,DG 24:3,473.32175,7.057,-7.095960440000001,0.1268117932063055,lipidomics
RGVKELHMKHBEHQ-UHFFFAOYSA-N,Cer 25:0 #2,Cer 25:0 [m/z 430.3797 rt 13.95],430.37967,13.946,0.1837690766666657,0.1268117932063055,lipidomics
PKIPKGSTDIUGDH-UHFFFAOYSA-N,TG 44:8,TG 44:8,752.57245,1.282,0.1982243733333284,0.1271956714144234,lipidomics
VVRWESKTQXCIFK-UHFFFAOYSA-N,PC O-35:5 #5,PC O-35:5 [m/z 874.5490 rt 8.90],874.54901,8.898,-0.3963305566666708,0.1271956714144234,lipidomics
WBJXEWVFNZCCAP-UHFFFAOYSA-N,TG 49:2 #2,TG 49:2 [m/z 834.7461 rt 1.60],834.74609,1.604,7.632420183333332,0.1275285383396991,lipidomics
XXKFQTJOJZELMD-UHFFFAOYSA-N,PC 36:6,PC 36:6,778.53754,9.055,-6.940011706666668,0.1275853712762474,lipidomics
VYUHZPZADGKWJI-UHFFFAOYSA-N,Cer 47:3 #3,Cer 47:3 [m/z 730.6647 rt 10.28],730.66467,10.284,7.825779213333335,0.1275853712762474,lipidomics
YBSFJVNIDFMLQB-UHFFFAOYSA-N,CL 78:4,CL 78:4,769.55573,10.111,0.3428094166666664,0.1275853712762474,lipidomics
SRVPUTUFUFJJHY-UHFFFAOYSA-N,TG 45:4 #2,TG 45:4 [m/z 779.6131 rt 11.24],779.6131,11.244,0.1107535700000035,0.1279398006038622,lipidomics
SWAGCDKYFKIOCG-UHFFFAOYSA-N,AHexCer 46:4,AHexCer 46:4 [m/z 858.6738 rt 1.26],858.67383,1.26,0.3487631933333261,0.1280348151417399,lipidomics
NFDSJDYCYOQCOI-UHFFFAOYSA-N,TG 52:4 #3,TG 52:4 [m/z 888.7719 rt 12.06],888.77191,12.056,8.198998533333333,0.1280390293533785,lipidomics
BUNCILSZVKVTFU-UHFFFAOYSA-N,SE 24:2 #3,SE 24:2 [m/z 793.6006 rt 12.01],793.60059,12.014,9.164579423333334,0.1282212445947863,lipidomics
FMFMUOKKULZXFT-UHFFFAOYSA-N,Hex2Cer 33:5,Hex2Cer 33:5,840.54163,1.621,0.8002943766666668,0.128284387134641,lipidomics
NYPGXNVZDJORAS-UHFFFAOYSA-N,PI 28:0,PI 28:0,769.44507,8.809,-1.0729372500000025,0.128284387134641,lipidomics
WDNWUWJXYFPSTN-UHFFFAOYSA-N,Cer 53:4,Cer 53:4,812.74506,1.252,1.0027436733333328,0.1283229231280288,lipidomics
LMCZKIVEIAFRAM-UHFFFAOYSA-N,SL 32:3 #2,SL 32:3 [m/z 586.4078 rt 3.13],586.40778,3.132,-0.1961591233333344,0.1284242524887695,lipidomics
SGNBVLSWZMBQTH-UHFFFAOYSA-N,ST 28:1 #2,ST 28:1 [m/z 383.3648 rt 13.45],383.36484,13.448,0.1049269566666666,0.1285012471777587,lipidomics
MMBIULFVXDHGQC-UHFFFAOYSA-N,SM 47:5,SM 47:5,935.72064,11.85,7.554587643333335,0.1286690858333184,lipidomics
NJHRDGPLPTUVII-UHFFFAOYSA-N,PC 39:3,PC 39:3,848.63422,12.292,-0.798373266666669,0.128805318264202,lipidomics
