Method,Silhouette_Score
Proteomics,0.8663444595441162
Peptidomics,0.8470405993331003
Metabolomics,0.8020707530370372
Lipidomics,0.8683161398927468
MOFA2 Integrated,0.9821801181407308
DIABLO Integrated,0.9753374311400198
